genomeversion	biastype	biassubtype	chr	start	end
hg19	transcription	uts	chr1	47603107	47615413
hg19	transcription	uts	chr1	47799469	47844511
hg19	transcription	uts	chr1	47881744	47883723
hg19	transcription	uts	chr1	47901689	47906363
hg19	transcription	uts	chr1	48569306	48569878
hg19	transcription	uts	chr1	48688357	48714316
hg19	transcription	uts	chr1	50459990	50461874
hg19	transcription	uts	chr1	50513686	50669458
hg19	transcription	uts	chr1	51426417	51440305
hg19	transcription	uts	chr1	51567906	51613752
hg19	transcription	uts	chr1	51701943	51739127
hg19	transcription	uts	chr1	52042851	52254889
hg19	transcription	uts	chr1	52521797	52556388
hg19	transcription	uts	chr1	52608046	52812358
hg19	transcription	uts	chr1	52870236	52886511
hg19	transcription	uts	chr1	53068044	53074723
hg19	transcription	uts	chr1	53099016	53135355
hg19	transcription	uts	chr1	53192126	53293014
hg19	transcription	uts	chr1	53308183	53360670
hg19	transcription	uts	chr1	53392901	53517375
hg19	transcription	uts	chr1	53527854	53551174
hg19	transcription	uts	chr1	53662101	53679869
hg19	transcription	uts	chr1	53925072	53933161
hg19	transcription	uts	chr1	54356912	54376759
hg19	transcription	uts	chr1	54411750	54433841
hg19	transcription	uts	chr1	54519260	54578192
hg19	transcription	uts	chr1	54569968	54571750
hg19	transcription	uts	chr1	54649714	54691137
hg19	transcription	uts	chr1	54703710	54704736
hg19	transcription	uts	chr1	55007930	55104865
hg19	transcription	uts	chr1	55107459	55207981
hg19	transcription	uts	chr1	55107463	55175939
hg19	transcription	uts	chr1	55181495	55208330
hg19	transcription	uts	chr1	55271736	55307925
hg19	transcription	uts	chr1	55446465	55457966
hg19	transcription	uts	chr1	55464606	55476556
hg19	transcription	uts	chr1	55505221	55530525
hg19	transcription	uts	chr1	57110995	57181008
hg19	transcription	uts	chr1	57320479	57383894
hg19	transcription	uts	chr1	59762310	60233347
hg19	transcription	uts	chr1	60280458	60342050
hg19	transcription	uts	chr1	61330931	61928465
hg19	transcription	uts	chr1	62208149	62629592
hg19	transcription	uts	chr1	62660503	62678000
hg19	transcription	uts	chr1	62901968	62917475
hg19	transcription	uts	chr1	63063158	63071830
hg19	transcription	uts	chr1	63073437	63075249
hg19	transcription	uts	chr1	63249806	63331184
hg19	transcription	uts	chr1	63788730	63790797
hg19	transcription	uts	chr1	63833261	63904233
hg19	transcription	uts	chr1	63989043	64038364
hg19	transcription	uts	chr1	64014588	64015405
hg19	transcription	uts	chr1	64058947	64125916
hg19	transcription	uts	chr1	64239693	64647181
hg19	transcription	uts	chr1	64669310	64733053
hg19	transcription	uts	chr1	64936428	65158741
hg19	transcription	uts	chr1	65210778	65298915
hg19	transcription	uts	chr1	65613232	65697828
hg19	transcription	uts	chr1	65713902	65881552
hg19	transcription	uts	chr1	65886248	66107242
hg19	transcription	uts	chr1	65886270	65901690
hg19	transcription	uts	chr1	66258197	66840259
hg19	transcription	uts	chr1	66999066	67213982
hg19	transcription	uts	chr1	67218142	67244470
hg19	transcription	uts	chr1	67390578	67454302
hg19	transcription	uts	chr1	67632083	67725662
hg19	transcription	uts	chr1	67773047	67862583
hg19	transcription	uts	chr1	68150744	68154021
hg19	transcription	uts	chr1	70034081	70617628
hg19	transcription	uts	chr1	70671365	70718735
hg19	transcription	uts	chr1	70820488	70851022
hg19	transcription	uts	chr1	70876901	70905534
hg19	transcription	uts	chr1	74663922	74699770
hg19	transcription	uts	chr1	74663926	75009666
hg19	transcription	uts	chr1	74663937	75010112
hg19	transcription	uts	chr1	75198836	75232362
hg19	transcription	uts	chr1	75594119	75627218
hg19	transcription	uts	chr1	76190036	76253260
hg19	transcription	uts	chr1	76251879	76260764
hg19	transcription	uts	chr1	76262567	76378923
hg19	transcription	uts	chr1	76540404	77100286
hg19	transcription	uts	chr1	77333126	77531396
hg19	transcription	uts	chr1	77747736	78025651
hg19	transcription	uts	chr1	78245309	78344106
hg19	transcription	uts	chr1	78354198	78409580
hg19	transcription	uts	chr1	78444859	78483648
hg19	transcription	uts	chr1	78445226	78604133
hg19	transcription	uts	chr1	78769568	79005434
hg19	transcription	uts	chr1	79085607	79108484
hg19	transcription	uts	chr1	79115481	79129763
hg19	transcription	uts	chr1	81771845	82458120
hg19	transcription	uts	chr1	84543745	84704181
hg19	transcription	uts	chr1	84764049	84855640
hg19	transcription	uts	chr1	84864215	84880701
hg19	transcription	uts	chr1	84944942	84963473
hg19	transcription	uts	chr1	85464830	85598821
hg19	transcription	uts	chr1	86046444	86049645
hg19	transcription	uts	chr1	86889769	86922241
hg19	transcription	uts	chr1	86934051	86965972
hg19	transcription	uts	chr1	87012761	87046437
hg19	transcription	uts	chr1	87170259	87213867
hg19	transcription	uts	chr1	87380331	87602334
hg19	transcription	uts	chr1	87458692	87634884
hg19	transcription	uts	chr1	87794151	87814606
hg19	transcription	uts	chr1	89149905	89301938
hg19	transcription	uts	chr1	89829617	89852020
hg19	transcription	uts	chr1	89990395	90063423
hg19	transcription	uts	chr1	90098631	90235462
hg19	transcription	uts	chr1	90098699	90398809
hg19	transcription	uts	chr1	90286573	90402170
hg19	transcription	uts	chr1	90460671	90494097
hg19	transcription	uts	chr1	91966408	91991321
hg19	transcription	uts	chr1	92414928	92479983
hg19	transcription	uts	chr1	92495539	92529093
hg19	transcription	uts	chr1	92545862	92613393
hg19	transcription	uts	chr1	92632542	92650280
hg19	transcription	uts	chr1	92683497	92711370
hg19	transcription	uts	chr1	92764522	92853730
hg19	transcription	uts	chr1	93297582	93307481
hg19	transcription	uts	chr1	93544792	93604638
hg19	transcription	uts	chr1	93645476	93744287
hg19	transcription	uts	chr1	93811445	93828149
hg19	transcription	uts	chr1	93913688	94020218
hg19	transcription	uts	chr1	94883933	94984222
hg19	transcription	uts	chr1	95285898	95360802
hg19	transcription	uts	chr1	95582894	95663163
hg19	transcription	uts	chr1	95583479	95712781
hg19	transcription	uts	chr1	95699711	95712781
hg19	transcription	uts	chr1	96403457	96488436
hg19	transcription	uts	chr1	97187221	97280349
hg19	transcription	uts	chr1	99127236	99226056
hg19	transcription	uts	chr1	99729509	99775146
hg19	transcription	uts	chr1	100111499	100160097
hg19	transcription	uts	chr1	100315640	100389579
hg19	transcription	uts	chr1	100435345	100492535
hg19	transcription	uts	chr1	100503653	100548933
hg19	transcription	uts	chr1	100598706	100616053
hg19	transcription	uts	chr1	100731763	100758325
hg19	transcription	uts	chr1	100810584	100985833
hg19	transcription	uts	chr1	101003693	101007574
hg19	transcription	uts	chr1	101185298	101204601
hg19	transcription	uts	chr1	101361632	101447309
hg19	transcription	uts	chr1	101455761	101457653
hg19	transcription	uts	chr1	101702444	101707074
hg19	transcription	uts	chr1	104068313	104097861
hg19	transcription	uts	chr1	104096437	104122156
hg19	transcription	uts	chr1	104159999	104168402
hg19	transcription	uts	chr1	104197912	104207173
hg19	transcription	uts	chr1	104293028	104301312
hg19	transcription	uts	chr1	107599267	107601916
hg19	transcription	uts	chr1	107682629	108026080
hg19	transcription	uts	chr1	108918421	109013624
hg19	transcription	uts	chr1	109102711	109187522
hg19	transcription	uts	chr1	109234945	109244425
hg19	transcription	uts	chr1	109255279	109285365
hg19	transcription	uts	chr1	109289296	109352148
hg19	transcription	uts	chr1	109417972	109473044
hg19	transcription	uts	chr1	109633357	109639556
hg19	transcription	uts	chr1	109656301	109749401
hg19	transcription	uts	chr1	109756540	109780791
hg19	transcription	uts	chr1	109792641	109818372
hg19	transcription	uts	chr1	110009180	110024759
hg19	transcription	uts	chr1	110026101	110035426
hg19	transcription	uts	chr1	110036674	110045554
hg19	transcription	uts	chr1	110082494	110091028
hg19	transcription	uts	chr1	110091233	110136975
hg19	transcription	uts	chr1	110158726	110174673
hg19	transcription	uts	chr1	110198703	110208118
hg19	transcription	uts	chr1	110210644	110252171
hg19	transcription	uts	chr1	110230436	110251661
hg19	transcription	uts	chr1	110254864	110318050
hg19	transcription	uts	chr1	110452864	110473614
hg19	transcription	uts	chr1	110527308	110566357
hg19	transcription	uts	chr1	110574199	110617263
hg19	transcription	uts	chr1	110655062	110656569
hg19	transcription	uts	chr1	110693108	110744824
hg19	transcription	uts	chr1	110753965	110825722
hg19	transcription	uts	chr1	110881128	110889299
hg19	transcription	uts	chr1	110993822	110999976
hg19	transcription	uts	chr1	111415775	111442550
hg19	transcription	uts	chr1	111682249	111727724
hg19	transcription	uts	chr1	111743393	111786062
hg19	transcription	uts	chr1	111833484	111863188
hg19	transcription	uts	chr1	111888910	111895635
hg19	transcription	uts	chr1	111991486	112005395
hg19	transcription	uts	chr1	112016414	112021134
hg19	transcription	uts	chr1	112084840	112259313
hg19	transcription	uts	chr1	112297867	112310638
hg19	transcription	uts	chr1	112938803	113006078
hg19	transcription	uts	chr1	113009163	113065288
hg19	transcription	uts	chr1	113161795	113214241
hg19	transcription	uts	chr1	113215763	113243368
hg19	transcription	uts	chr1	113263041	113269857
hg19	transcription	uts	chr1	113615831	113669822
hg19	transcription	uts	chr1	113933371	114228545
hg19	transcription	uts	chr1	114447763	114456708
hg19	transcription	uts	chr1	114471814	114520426
hg19	transcription	uts	chr1	114522063	114524876
hg19	transcription	uts	chr1	115397424	115537991
hg19	transcription	uts	chr1	115572415	115576941
hg19	transcription	uts	chr1	116184574	116240845
hg19	transcription	uts	chr1	116519119	116612675
hg19	transcription	uts	chr1	116654376	116677861
hg19	transcription	uts	chr1	116915290	116952883
hg19	transcription	uts	chr1	117236734	117249225
hg19	transcription	uts	chr1	117297007	117311850
hg19	transcription	uts	chr1	117452679	117532980
hg19	transcription	uts	chr1	117544382	117579167
hg19	transcription	uts	chr1	117602925	117645492
hg19	transcription	uts	chr1	117910071	118071494
hg19	transcription	uts	chr1	118148556	118170994
hg19	transcription	uts	chr1	118472343	118503049
hg19	transcription	uts	chr1	119911402	119936753
hg19	transcription	uts	chr1	119957554	119965658
hg19	transcription	uts	chr1	120049821	120057681
hg19	transcription	uts	chr1	120202421	120286838
hg19	transcription	uts	chr1	120837756	120855681
hg19	transcription	uts	chr1	144146808	144224481
hg19	transcription	uts	chr1	144339738	144521058
hg19	transcription	uts	chr1	144811744	144830413
hg19	transcription	uts	chr1	144989309	144991365
hg19	transcription	uts	chr1	145209119	145291972
hg19	transcription	uts	chr1	145209145	145319796
hg19	transcription	uts	chr1	145289772	145370303
hg19	transcription	uts	chr1	145413095	145417545
hg19	transcription	uts	chr1	145438469	145442635
hg19	transcription	uts	chr1	145470508	145475646
hg19	transcription	uts	chr1	145477085	145501669
hg19	transcription	uts	chr1	145507598	145511444
hg19	transcription	uts	chr1	145516252	145523730
hg19	transcription	uts	chr1	145524891	145543868
hg19	transcription	uts	chr1	145549230	145568526
hg19	transcription	uts	chr1	145575233	145586546
hg19	transcription	uts	chr1	145611036	145690661
hg19	transcription	uts	chr1	145726918	145764074
hg19	transcription	uts	chr1	145883868	145924373
hg19	transcription	uts	chr1	146373546	146467744
hg19	transcription	uts	chr1	146714291	146767443
hg19	transcription	uts	chr1	147013182	147098017
hg19	transcription	uts	chr1	147374946	147381393
hg19	transcription	uts	chr1	147400506	147465753
hg19	transcription	uts	chr1	148555979	148596267
hg19	transcription	uts	chr1	148739443	148758311
hg19	transcription	uts	chr1	149553003	149553787
hg19	transcription	uts	chr1	149675978	149676609
hg19	transcription	uts	chr1	149754227	149764074
hg19	transcription	uts	chr1	149804221	149811339
hg19	transcription	uts	chr1	149822643	149823191
hg19	transcription	uts	chr1	149824181	149825836
hg19	transcription	uts	chr1	149858525	149858961
hg19	transcription	uts	chr1	149859440	149872351
hg19	transcription	uts	chr1	150039369	150117505
hg19	transcription	uts	chr1	150121373	150136916
hg19	transcription	uts	chr1	150229554	150237478
hg19	transcription	uts	chr1	150240600	150253327
hg19	transcription	uts	chr1	150254953	150259505
hg19	transcription	uts	chr1	150266289	150281414
hg19	transcription	uts	chr1	150293925	150325671
